title,link
Nucleotide variability in Beta 2 Microglobulin (β2M) gene and its association with colostral IgG levels in buffaloes (Bubalus bubalis).,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AZzlSgRqYykMC%26tzom%3D-540
Crustal and uppermost mantle structures in the frontal Himalaya and Indo-Gangetic basin using surface wave: tectonic implications,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3ARpHLKABnwqoC%26tzom%3D-540
Multi-targeted therapy of everolimus in Kaposi’s sarcoma associated herpes virus infected primary effusion lymphoma,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AYIdQ7BAI8VoC%26tzom%3D-540
"Reduction in oxalate, acridity, phenolic content and antioxidant activity of Amorphophallus paeoniifolius var. Gajendra upon cooking.",https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AvMcOFpnEpxoC%26tzom%3D-540
Mastoid osteoma of temporal bone–a rare case report,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3ACvh0bltMcLgC%26tzom%3D-540
Pilot study of a comprehensive precision medicine platform for children with high-risk cancer.,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AsiTy-4AL0AwC%26tzom%3D-540
A Prospective nonrandomized study of comparison of perioperative and quality of life outcomes of endoscopic versus open inguinal hernia repair: data from a developing country,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AZysSsiWj_g4C%26tzom%3D-540
Materialized view selection using discrete genetic operators based particle swarm optimization,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AKTwcwpFFj4wC%26tzom%3D-540
Hemicellulolytic activity in the crop residues,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3ARuPIJ_LgqDgC%26tzom%3D-540
Microalgae based biofuel: challenges and opportunities,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AkF1pexMAQbMC%26tzom%3D-540
"Impact of flooding on land use/land cover transformation in Wular Lake and its environs, Kashmir Valley, India using geoinformatics",https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AqjMakFHDy7sC%26tzom%3D-540
Self healing of open circuit faults: With active re-configurability and mimicry of synaptic plasticity,https://scholar.google.com/citations?hl=ko&user=x2tzYAYAAAAJ#d=gs_md_cita-d&u=/citations%3Fview_op%3Dview_citation%26hl%3Dko%26user%3Dx2tzYAYAAAAJ%26cstart%3D1400%26pagesize%3D100%26citation_for_view%3Dx2tzYAYAAAAJ%3AgDB6RRZydyMC%26tzom%3D-540
