제목,저자,게시 날짜,출처,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,저널,도서,발명자,특허청,특허 번호,출원번호,기관
Machine learning classifiers and fMRI: a tutorial overview,"Francisco Pereira, Tom Mitchell, Matthew Botvinick",2009/3/1,Neuroimage,45,1,S199-S209,Academic Press,"Interpreting brain image experiments requires analysis of complex, multivariate data. In recent years, one analysis approach that has grown in popularity is the use of machine learning algorithms to train classifiers to decode stimuli, mental states, behaviours and other variables of interest from fMRI data and thereby show the data contain information about them. In this tutorial overview we review some of the key choices faced in using this approach as well as how to derive statistically significant results, illustrating each point from a case study. Furthermore, we show how, in addition to answering the question of ‘is there information about a variable of interest’ (pattern discrimination), classifiers can be used to tackle other classes of question, namely ‘where is the information’ (pattern localization) and ‘how is that information encoded’ (pattern characterization).",1593회,"Machine learning classifiers and fMRI: a tutorial overview
F Pereira, T Mitchell, M Botvinick - Neuroimage, 2009
1593회 인용 관련 학술자료 전체 27개의 버전",,,,,,,,
Webwatcher: A tour guide for the world wide web,"Thorsten Joachims, Dayne Freitag, Tom Mitchell",1997/8/23,,,,770-777,,"We explore the notion of a tour guide software agent for assisting users browsing the world wide web. A web tour guide agent provides assistance similar to that provided by a human tour guide in a museum {it guides the user along an appropriate path through the collection, based on its knowledge of the user's interests, of the location and relevance of various items in the collection, and of the way in which others have interacted with the collection in the past. This paper describes a simple but operational tour guide, called WebWatcher, which has given over 5000 tours to people browsing CMU's School of Computer Science web pages. WebWatcher accompanies users from page to page, suggests appropriate hyperlinks, and learns from experience to improve its advice-giving skills.",1263회,"Webwatcher: A tour guide for the world wide web
T Joachims, D Freitag, T Mitchell - IJCAI (1), 1997
1263회 인용 관련 학술자료 전체 22개의 버전",IJCAI (1),,,,,,,
Predicting human brain activity associated with the meanings of nouns,"Tom M Mitchell, Svetlana V Shinkareva, Andrew Carlson, Kai-Min Chang, Vicente L Malave, Robert A Mason, Marcel Adam Just",2008/5/30,,320,5880,1191-1195,American Association for the Advancement of Science,"The question of how the human brain represents conceptual knowledge has been debated in many scientific fields. Brain imaging studies have shown that different spatial patterns of neural activation are associated with thinking about different semantic categories of pictures and words (for example, tools, buildings, and animals). We present a computational model that predicts the functional magnetic resonance imaging (fMRI) neural activation associated with words for which fMRI data are not yet available. This model is trained with a combination of data from a trillion-word text corpus and observed fMRI data associated with viewing several dozen concrete nouns. Once trained, the model predicts fMRI activation for thousands of other concrete nouns in the text corpus, with highly significant accuracies over the 60 nouns for which we currently have fMRI data.",1229회,"Predicting human brain activity associated with the meanings of nouns
TM Mitchell, SV Shinkareva, A Carlson, KM Chang… - science, 2008
1229회 인용 관련 학술자료 전체 35개의 버전",,science,,,,,,
Learning to extract symbolic knowledge from the World Wide Web,"Mark Craven, Andrew McCallum, Dan PiPasquo, Tom Mitchell, Dayne Freitag",1998/9/1,,,,,Carnegie-mellon univ pittsburgh pa school of computer Science,"The World Wide Web is a vast source of information accessible to computers, but understandable only to humans. The goal of the research described here is to automatically create a computer understandable knowledge base whose content mirrors that of the World Wide Web. Such a knowledge base would enable much more effective retrieval of Web information, and promote new uses of the Web to support knowledge based inference and problem solving. Our approach is to develop a trainable information extraction system that takes two inputs. The first is an ontology that defines the classes eg, Company, Person, Employee, Product and relations eg, Employed. By, Produced. By of interest when creating the knowledge base. The second is a set of training data consisting of labeled regions of hypertext that represent instances of these classes and relations. Given these inputs, the system learns to extract information from other pages and hyperlinks on the Web. This paper describes our general approach, several machine learning algorithms for this task, and promising initial results with a prototype system that has created a knowledge base describing university people, courses, and research projects.
Descriptors:",950회,"Learning to extract symbolic knowledge from the World Wide Web
M Craven, A McCallum, D PiPasquo, T Mitchell… - 1998
950회 인용 관련 학술자료 전체 37개의 버전",,,,,,,,
Webwatcher: A learning apprentice for the world wide web,"Robert Armstrong, Dayne Freitag, Thorsten Joachims, Tom Mitchell",1995/3/12,,93,,107,,"We describe an information seeking assistant for the world wide web. This agent, called WebWatcher, interactively helps users locate desired information by employing learned knowledge about which hyperlinks are likely to lead to the target information. Our primary focus to date has been on two issues:(1) organizing WebWatcher to provide interactive advice to Mosaic users while logging their successful and unsuccessful searches as training data, and (2) incorporating machine learning methods to automatically acquire knowledge for selecting an appropriate hyperlink given the current web page viewed by the user and the user’s information goal. We describe the initial design of WebWatcher, and the results of our preliminary learning experiments.",942회,"Webwatcher: A learning apprentice for the world wide web
R Armstrong, D Freitag, T Joachims, T Mitchell - AAAI Spring symposium on Information gathering from …, 1995
942회 인용 관련 학술자료 전체 29개의 버전",,"AAAI Spring symposium on Information gathering from Heterogeneous, distributed environments",,,,,,
The need for biases in learning generalizations,Tom M Mitchell,1980/5,,,,184-191,"Department of Computer Science, Laboratory for Computer Science Research, Rutgers Univ.","Learning involves the ability to generalize from past experience in order to deal with new situations that are” related to” this experience. The inductive leaap needed to deal with new situations seems to be possible only under certain biases for choosing one generalization of the situation over another. This paper defines precisely the notion of bias in generalization problems, then shows that biases are necessary for the inductive leap. Classes of justifiable biases are considered, and the relationship between bias and domain-independence is considered.",906회,"The need for biases in learning generalizations
TM Mitchell - 1980
906회 인용 관련 학술자료 전체 9개의 버전",,,,,,,,
Zero-shot learning with semantic output codes,"Mark M Palatucci, Dean A Pomerleau, Geoffrey E Hinton, Tom Mitchell",2009/12,,,,,Carnegie Mellon University,"We consider the problem of zero-shot learning, where the goal is to learn a classifier f: X → Y that must predict novel values of Y that were omitted from the training set. To achieve this, we define the notion of a semantic output code classifier (SOC) which utilizes a knowledge base of semantic properties of Y to extrapolate to novel classes. We provide a formalism for this type of classifier and study its theoretical properties in a PAC framework, showing conditions under which the classifier can accurately predict novel classes. As a case study, we build a SOC classifier for a neural decoding task and show that it can often predict words that people are thinking about from functional magnetic resonance images (fMRI) of their neural activity, even without training examples for those words.",858회,"Zero-shot learning with semantic output codes
MM Palatucci, DA Pomerleau, GE Hinton, T Mitchell - 2009
858회 인용 관련 학술자료 전체 21개의 버전",,,,,,,,
Learning to decode cognitive states from brain images,"Tom M Mitchell, Rebecca Hutchinson, Radu S Niculescu, Francisco Pereira, Xuerui Wang, Marcel Just, Sharlene Newman",2004/10,,57,1,145-175,Kluwer Academic Publishers,"Over the past decade, functional Magnetic Resonance Imaging (fMRI) has emerged as a powerful new instrument to collect vast quantities of data about activity in the human brain. A typical fMRI experiment can produce a three-dimensional image related to the human subject's brain activity every half second, at a spatial resolution of a few millimeters. As in other modern empirical sciences, this new instrumentation has led to a flood of new data, and a corresponding need for new data analysis methods. We describe recent research applying machine learning methods to the problem of classifying the cognitive state of a human subject based on fRMI data observed over a single time interval. In particular, we present case studies in which we have successfully trained classifiers to distinguish cognitive states such as (1) whether the human subject is looking at a picture or a sentence, (2) whether the subject is …",853회,"Learning to decode cognitive states from brain images
TM Mitchell, R Hutchinson, RS Niculescu, F Pereira… - Machine learning, 2004
853회 인용 관련 학술자료 전체 36개의 버전",,Machine learning,,,,,,
Never-Ending Learning,,2015,,,,,AAAI,,754회,"Never-ending learning*
T Mitchell, W Cohen, E Hruschka, P Talukdar, B Yang… - Communications of the ACM, 2018
754회 인용 관련 학술자료 전체 54개의 버전",AAAI Conference on Artificial Intelligence,,,,,,,
Improving Text Classification by Shrinkage in a Hierarchy of Classes.,"Andrew McCallum, Ronald Rosenfeld, Tom M Mitchell, Andrew Y Ng",1998/7/24,,98,,359-367,,"When documents are organized in a large number of topic categories, the categories are often arranged in a hierarchy. The US patent database and Yahoo are two examples. This paper shows that the accuracy of a naive Bayes text classifier can be significantly improved by taking advantage of a hierarchy of classes. We adopt an established statistical technique called shrinkage that smoothes parameter estimates of a data-sparse child with its parent in order to obtain more robust parameter estimates. The approach is also employed in deleted interpolation, a technique for smoothing n-grams in language modeling for speech recognition. Our method scales well to large data sets, with numerous categories in large hierarchies. Experimental results on three real-world data sets from UseNet, Yahoo, and corporate web pages show improved performance, with a reduction in error up to 29% over the traditional flat classifier.",689회,"Improving Text Classification by Shrinkage in a Hierarchy of Classes.
A McCallum, R Rosenfeld, TM Mitchell, AY Ng - ICML, 1998
689회 인용 관련 학술자료 전체 30개의 버전",,ICML,,,,,,
